thread_id,hotel,hotel_slug,city,country,program,brand
1801359,Park Hyatt Kyoto,park-hyatt-kyoto,Kyoto,Japan,World of Hyatt,Park Hyatt
,Hyatt Hotel Canberra - A Park Hyatt Hotel,hyatt-hotel-canberra-a-park-hyatt-hotel,Canberra,Australia,World of Hyatt,Park Hyatt
,Palacio Duhau - Park Hyatt Buenos Aires,palacio-duhau-park-hyatt-buenos-aires,Buenos Aires,Argentina,World of Hyatt,Park Hyatt
,Park Hyatt Auckland,park-hyatt-auckland,Auckland,New Zealand,World of Hyatt,Park Hyatt
,Park Hyatt Aviara Resort,park-hyatt-aviara-resort,Carlsbad,United States,World of Hyatt,Park Hyatt
,Park Hyatt Beijing,park-hyatt-beijing,Beijing,China,World of Hyatt,Park Hyatt
,Park Hyatt Busan,park-hyatt-busan,Busan,South Korea,World of Hyatt,Park Hyatt
,Park Hyatt Changbaishan,park-hyatt-changbaishan,Baishan,China,World of Hyatt,Park Hyatt
,Park Hyatt Changsha,park-hyatt-changsha,Changsha,China,World of Hyatt,Park Hyatt
,Park Hyatt Chennai,park-hyatt-chennai,Chennai,India,World of Hyatt,Park Hyatt
,Park Hyatt Chicago,park-hyatt-chicago,Chicago,United States,World of Hyatt,Park Hyatt
,Park Hyatt Doha,park-hyatt-doha,Doha,Qatar,World of Hyatt,Park Hyatt
,Park Hyatt Dubai,park-hyatt-dubai,Dubai,United Arab Emirates,World of Hyatt,Park Hyatt
,Park Hyatt Hyderabad,park-hyatt-hyderabad,Hyderabad,India,World of Hyatt,Park Hyatt
,Park Hyatt Istanbul - Macka Palas,park-hyatt-istanbul-macka-palas,Istanbul,Turkey,World of Hyatt,Park Hyatt
,Park Hyatt Jakarta,park-hyatt-jakarta,Jakarta,Indonesia,World of Hyatt,Park Hyatt
,Park Hyatt Jeddah Marina Club and Spa,park-hyatt-jeddah-marina-club-and-spa,Jeddah,Saudi Arabia,World of Hyatt,Park Hyatt
,Park Hyatt Johannesburg,park-hyatt-johannesburg,Johannesburg,South Africa,World of Hyatt,Park Hyatt
,Park Hyatt Kuala Lumpur,park-hyatt-kuala-lumpur,Kuala Lumpur,Malaysia,World of Hyatt,Park Hyatt
,Park Hyatt London River Thames,park-hyatt-london-river-thames,London,United Kingdom,World of Hyatt,Park Hyatt
,Park Hyatt Melbourne,park-hyatt-melbourne,Melbourne,Australia,World of Hyatt,Park Hyatt
,Park Hyatt Mexico City Polanco,park-hyatt-mexico-city-polanco,Mexico City,Mexico,World of Hyatt,Park Hyatt
,Park Hyatt New York,park-hyatt-new-york,New York,United States,World of Hyatt,Park Hyatt
,Park Hyatt Niseko Hanazono,park-hyatt-niseko-hanazono,Niseko,Japan,World of Hyatt,Park Hyatt
,Park Hyatt Paris-Vendome,park-hyatt-paris-vendome,Paris,France,World of Hyatt,Park Hyatt
,Park Hyatt Phu Quoc,park-hyatt-phu-quoc,Phu Quoc,Vietnam,World of Hyatt,Park Hyatt
,Park Hyatt Saigon,park-hyatt-saigon,Ho Chi Minh City,Vietnam,World of Hyatt,Park Hyatt
,Park Hyatt Seoul,park-hyatt-seoul,Seoul,South Korea,World of Hyatt,Park Hyatt
,Park Hyatt Shanghai,park-hyatt-shanghai,Shanghai,China,World of Hyatt,Park Hyatt
,Park Hyatt Shenzhen,park-hyatt-shenzhen,Shenzhen,China,World of Hyatt,Park Hyatt
,Park Hyatt Siem Reap,park-hyatt-siem-reap,Siem Reap,Cambodia,World of Hyatt,Park Hyatt
,Park Hyatt St. Kitts,park-hyatt-st-kitts,Basseterre,Saint Kitts and Nevis,World of Hyatt,Park Hyatt
,Park Hyatt Sydney,park-hyatt-sydney,Sydney,Australia,World of Hyatt,Park Hyatt
,Park Hyatt Toronto,park-hyatt-toronto,Toronto,Canada,World of Hyatt,Park Hyatt
,Park Hyatt Vienna,park-hyatt-vienna,Vienna,Austria,World of Hyatt,Park Hyatt
,Park Hyatt Washington DC,park-hyatt-washington-dc,Washington,United States,World of Hyatt,Park Hyatt
,Park Hyatt Zanzibar,park-hyatt-zanzibar,Zanzibar,Tanzania,World of Hyatt,Park Hyatt
